var_name1,values,value_count,values%
Alley,Grvl,50.0,54.94505494505494
Alley,Pave,41.0,45.05494505494506
BldgType,1Fam,1220.0,83.56164383561644
BldgType,2fmCon,31.0,2.1232876712328768
BldgType,Duplex,52.0,3.5616438356164384
BldgType,Twnhs,43.0,2.9452054794520546
BldgType,TwnhsE,114.0,7.808219178082192
BsmtCond,Fa,45.0,3.162333099086437
BsmtCond,Gd,65.0,4.567814476458187
BsmtCond,Po,2.0,0.14054813773717498
BsmtCond,TA,1311.0,92.1293042867182
BsmtExposure,Av,221.0,15.541490857946554
BsmtExposure,Gd,134.0,9.423347398030943
BsmtExposure,Mn,114.0,8.016877637130802
BsmtExposure,No,953.0,67.0182841068917
BsmtFinType1,ALQ,220.0,15.460295151089248
BsmtFinType1,BLQ,148.0,10.400562192550948
BsmtFinType1,GLQ,418.0,29.374560787069573
BsmtFinType1,LwQ,74.0,5.200281096275474
BsmtFinType1,Rec,133.0,9.346451159522136
BsmtFinType1,Unf,430.0,30.21784961349262
BsmtFinType2,ALQ,19.0,1.3361462728551337
BsmtFinType2,BLQ,33.0,2.320675105485232
BsmtFinType2,GLQ,14.0,0.9845288326300985
BsmtFinType2,LwQ,46.0,3.2348804500703237
BsmtFinType2,Rec,54.0,3.7974683544303796
BsmtFinType2,Unf,1256.0,88.32630098452883
BsmtQual,Ex,121.0,8.503162333099086
BsmtQual,Fa,35.0,2.459592410400562
BsmtQual,Gd,618.0,43.42937456078707
BsmtQual,TA,649.0,45.60787069571328
CentralAir,N,95.0,6.506849315068493
CentralAir,Y,1365.0,93.4931506849315
Condition1,Artery,48.0,3.287671232876712
Condition1,Feedr,81.0,5.5479452054794525
Condition1,Norm,1260.0,86.3013698630137
Condition1,PosA,8.0,0.547945205479452
Condition1,PosN,19.0,1.3013698630136987
Condition1,RRAe,11.0,0.7534246575342466
Condition1,RRAn,26.0,1.7808219178082192
Condition1,RRNe,2.0,0.136986301369863
Condition1,RRNn,5.0,0.3424657534246575
Condition2,Artery,2.0,0.136986301369863
Condition2,Feedr,6.0,0.410958904109589
Condition2,Norm,1445.0,98.97260273972603
Condition2,PosA,1.0,0.0684931506849315
Condition2,PosN,2.0,0.136986301369863
Condition2,RRAe,1.0,0.0684931506849315
Condition2,RRAn,1.0,0.0684931506849315
Condition2,RRNn,2.0,0.136986301369863
Electrical,FuseA,94.0,6.442769019876628
Electrical,FuseF,27.0,1.850582590815627
Electrical,FuseP,3.0,0.20562028786840303
Electrical,Mix,1.0,0.06854009595613433
Electrical,SBrkr,1334.0,91.43248800548321
ExterCond,Ex,3.0,0.2054794520547945
ExterCond,Fa,28.0,1.917808219178082
ExterCond,Gd,146.0,10.0
ExterCond,Po,1.0,0.0684931506849315
ExterCond,TA,1282.0,87.8082191780822
ExterQual,Ex,52.0,3.5616438356164384
ExterQual,Fa,14.0,0.958904109589041
ExterQual,Gd,488.0,33.42465753424658
ExterQual,TA,906.0,62.054794520547944
Exterior1st,AsbShng,20.0,1.36986301369863
Exterior1st,AsphShn,1.0,0.0684931506849315
Exterior1st,BrkComm,2.0,0.136986301369863
Exterior1st,BrkFace,50.0,3.4246575342465753
Exterior1st,CBlock,1.0,0.0684931506849315
Exterior1st,CemntBd,61.0,4.178082191780822
Exterior1st,HdBoard,222.0,15.205479452054794
Exterior1st,ImStucc,1.0,0.0684931506849315
Exterior1st,MetalSd,220.0,15.068493150684931
Exterior1st,Plywood,108.0,7.397260273972603
Exterior1st,Stone,2.0,0.136986301369863
Exterior1st,Stucco,25.0,1.7123287671232876
Exterior1st,VinylSd,515.0,35.273972602739725
Exterior1st,Wd Sdng,206.0,14.10958904109589
Exterior1st,WdShing,26.0,1.7808219178082192
Exterior2nd,AsbShng,20.0,1.36986301369863
Exterior2nd,AsphShn,3.0,0.2054794520547945
Exterior2nd,Brk Cmn,7.0,0.4794520547945205
Exterior2nd,BrkFace,25.0,1.7123287671232876
Exterior2nd,CBlock,1.0,0.0684931506849315
Exterior2nd,CmentBd,60.0,4.109589041095891
Exterior2nd,HdBoard,207.0,14.178082191780822
Exterior2nd,ImStucc,10.0,0.684931506849315
Exterior2nd,MetalSd,214.0,14.657534246575343
Exterior2nd,Other,1.0,0.0684931506849315
Exterior2nd,Plywood,142.0,9.726027397260275
Exterior2nd,Stone,5.0,0.3424657534246575
Exterior2nd,Stucco,26.0,1.7808219178082192
Exterior2nd,VinylSd,504.0,34.52054794520548
Exterior2nd,Wd Sdng,197.0,13.493150684931507
Exterior2nd,Wd Shng,38.0,2.6027397260273974
Fence,GdPrv,59.0,20.99644128113879
Fence,GdWo,54.0,19.21708185053381
Fence,MnPrv,157.0,55.87188612099644
Fence,MnWw,11.0,3.9145907473309607
FireplaceQu,Ex,24.0,3.116883116883117
FireplaceQu,Fa,33.0,4.285714285714286
FireplaceQu,Gd,380.0,49.35064935064935
FireplaceQu,Po,20.0,2.5974025974025974
FireplaceQu,TA,313.0,40.64935064935065
Foundation,BrkTil,146.0,10.0
Foundation,CBlock,634.0,43.42465753424658
Foundation,PConc,647.0,44.31506849315068
Foundation,Slab,24.0,1.643835616438356
Foundation,Stone,6.0,0.410958904109589
Foundation,Wood,3.0,0.2054794520547945
Functional,Maj1,14.0,0.958904109589041
Functional,Maj2,5.0,0.3424657534246575
Functional,Min1,31.0,2.1232876712328768
Functional,Min2,34.0,2.328767123287671
Functional,Mod,15.0,1.0273972602739727
Functional,Sev,1.0,0.0684931506849315
Functional,Typ,1360.0,93.15068493150685
GarageCond,Ex,2.0,0.145032632342277
GarageCond,Fa,35.0,2.5380710659898478
GarageCond,Gd,9.0,0.6526468455402465
GarageCond,Po,7.0,0.5076142131979695
GarageCond,TA,1326.0,96.15663524292965
GarageFinish,Fin,352.0,25.525743292240755
GarageFinish,RFn,422.0,30.60188542422045
GarageFinish,Unf,605.0,43.8723712835388
GarageQual,Ex,3.0,0.21754894851341552
GarageQual,Fa,48.0,3.4807831762146484
GarageQual,Gd,14.0,1.015228426395939
GarageQual,Po,3.0,0.21754894851341552
GarageQual,TA,1311.0,95.06889050036258
GarageType,2Types,6.0,0.43509789702683105
GarageType,Attchd,870.0,63.0891950688905
GarageType,Basment,19.0,1.3778100072516317
GarageType,BuiltIn,88.0,6.381435823060189
GarageType,CarPort,9.0,0.6526468455402465
GarageType,Detchd,387.0,28.0638143582306
Heating,Floor,1.0,0.0684931506849315
Heating,GasA,1428.0,97.8082191780822
Heating,GasW,18.0,1.2328767123287672
Heating,Grav,7.0,0.4794520547945205
Heating,OthW,2.0,0.136986301369863
Heating,Wall,4.0,0.273972602739726
HeatingQC,Ex,741.0,50.75342465753425
HeatingQC,Fa,49.0,3.356164383561644
HeatingQC,Gd,241.0,16.506849315068493
HeatingQC,Po,1.0,0.0684931506849315
HeatingQC,TA,428.0,29.315068493150687
HouseStyle,1.5Fin,154.0,10.547945205479452
HouseStyle,1.5Unf,14.0,0.958904109589041
HouseStyle,1Story,726.0,49.726027397260275
HouseStyle,2.5Fin,8.0,0.547945205479452
HouseStyle,2.5Unf,11.0,0.7534246575342466
HouseStyle,2Story,445.0,30.47945205479452
HouseStyle,SFoyer,37.0,2.5342465753424657
HouseStyle,SLvl,65.0,4.4520547945205475
KitchenQual,Ex,100.0,6.8493150684931505
KitchenQual,Fa,39.0,2.671232876712329
KitchenQual,Gd,586.0,40.136986301369866
KitchenQual,TA,735.0,50.342465753424655
LandContour,Bnk,63.0,4.315068493150685
LandContour,HLS,50.0,3.4246575342465753
LandContour,Low,36.0,2.4657534246575343
LandContour,Lvl,1311.0,89.79452054794521
LandSlope,Gtl,1382.0,94.65753424657534
LandSlope,Mod,65.0,4.4520547945205475
LandSlope,Sev,13.0,0.8904109589041096
LotConfig,Corner,263.0,18.013698630136986
LotConfig,CulDSac,94.0,6.438356164383562
LotConfig,FR2,47.0,3.219178082191781
LotConfig,FR3,4.0,0.273972602739726
LotConfig,Inside,1052.0,72.05479452054794
LotShape,IR1,484.0,33.15068493150685
LotShape,IR2,41.0,2.808219178082192
LotShape,IR3,10.0,0.684931506849315
LotShape,Reg,925.0,63.35616438356164
MasVnrType,BrkCmn,15.0,1.0330578512396693
MasVnrType,BrkFace,445.0,30.647382920110193
MasVnrType,None,864.0,59.50413223140496
MasVnrType,Stone,128.0,8.81542699724518
MiscFeature,Gar2,2.0,3.7037037037037037
MiscFeature,Othr,2.0,3.7037037037037037
MiscFeature,Shed,49.0,90.74074074074075
MiscFeature,TenC,1.0,1.8518518518518519
Neighborhood,Blmngtn,17.0,1.1643835616438356
Neighborhood,Blueste,2.0,0.136986301369863
Neighborhood,BrDale,16.0,1.095890410958904
Neighborhood,BrkSide,58.0,3.9726027397260273
Neighborhood,ClearCr,28.0,1.917808219178082
Neighborhood,CollgCr,150.0,10.273972602739725
Neighborhood,Crawfor,51.0,3.493150684931507
Neighborhood,Edwards,100.0,6.8493150684931505
Neighborhood,Gilbert,79.0,5.410958904109589
Neighborhood,IDOTRR,37.0,2.5342465753424657
Neighborhood,MeadowV,17.0,1.1643835616438356
Neighborhood,Mitchel,49.0,3.356164383561644
Neighborhood,NAmes,225.0,15.41095890410959
Neighborhood,NPkVill,9.0,0.6164383561643836
Neighborhood,NWAmes,73.0,5.0
Neighborhood,NoRidge,41.0,2.808219178082192
Neighborhood,NridgHt,77.0,5.273972602739726
Neighborhood,OldTown,113.0,7.739726027397261
Neighborhood,SWISU,25.0,1.7123287671232876
Neighborhood,Sawyer,74.0,5.068493150684931
Neighborhood,SawyerW,59.0,4.041095890410959
Neighborhood,Somerst,86.0,5.890410958904109
Neighborhood,StoneBr,25.0,1.7123287671232876
Neighborhood,Timber,38.0,2.6027397260273974
Neighborhood,Veenker,11.0,0.7534246575342466
PavedDrive,N,90.0,6.164383561643835
PavedDrive,P,30.0,2.0547945205479454
PavedDrive,Y,1340.0,91.78082191780823
PoolQC,Ex,2.0,28.571428571428573
PoolQC,Fa,2.0,28.571428571428573
PoolQC,Gd,3.0,42.857142857142854
RoofMatl,ClyTile,1.0,0.0684931506849315
RoofMatl,CompShg,1434.0,98.21917808219177
RoofMatl,Membran,1.0,0.0684931506849315
RoofMatl,Metal,1.0,0.0684931506849315
RoofMatl,Roll,1.0,0.0684931506849315
